trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.11271966358011,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-38.77620811204129,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-70.13647242487754,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,6,-38.15066809068036,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-62.31698934809816,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-124.86625418219722,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-76.80401591479739,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,6,-59.68755421471592,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-62.51285791912864,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-87.28369084738789,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-128.3759002446051,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-45.99303336449509,"{0: 29, 1: 0, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-96.14726813270858,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-45.96342849898985,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-27.1853049927113,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-51.886015483971946,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,-28.92468677970684,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,-41.306300432581374,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,5.273162387206936,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,-22.824343520625302,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 0}",25,0,-68.41352615059621,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 0}",30,2,-63.390947278866996,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 0}",25,19,13.07687270210548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",20,0,-33.3097324098431,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0}",30,0,-24.33170210378814,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0}",20,0,-5.572683062506936,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0}",30,4,-98.67719930081277,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 2}",1
8,True,"{'a': 0.5, 'e': 0}",25,15,-24.40052925286829,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 0}",25,2,-37.849637345398776,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 0}",25,11,8.136407756939137,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
