trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.9686142949984503}",25,2,-54.72966829069094,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 0}",1
2,False,"{'a': 0.99, 'e': 0.9672285899969006}",25,0,-116.7350407359104,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.99, 'e': 0.965842884995351}",20,0,-82.79255271592015,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.9644571799938013}",30,0,-146.1775981913939,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.99, 'e': 0.9630714749922517}",25,0,-114.0795769554363,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.99, 'e': 0.961685769990702}",25,0,-94.29017918603263,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9603000649891523}",20,16,5.86983930314413,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.99, 'e': 0.9589143599876027}",20,0,-103.59319673523656,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.957528654986053}",30,0,-254.53577368060346,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
10,False,"{'a': 0.99, 'e': 0.9561429499845033}",25,0,-38.04208404539193,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.99, 'e': 0.9547572449829537}",25,0,-52.89671560507322,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.99, 'e': 0.953371539981404}",30,9,-92.7059529063948,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 1}",1
13,False,"{'a': 0.99, 'e': 0.9519858349798543}",30,0,-93.10813433321199,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.99, 'e': 0.9506001299783047}",20,0,-50.829458285995265,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.99, 'e': 0.949214424976755}",25,0,-229.93214172373897,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
16,False,"{'a': 0.99, 'e': 0.9478287199752053}",25,0,-17.8851025716757,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.99, 'e': 0.9464430149736557}",25,0,-48.204403593897496,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.99, 'e': 0.945057309972106}",20,2,-84.26204389662237,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.99, 'e': 0.9436716049705564}",20,0,-50.67711220989666,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.99, 'e': 0.9422858999690067}",30,0,-190.50037257177937,"{0: 15, 1: 2, 2: 8, 3: 4, 4: 1}",0
21,False,"{'a': 0.99, 'e': 0.940900194967457}",20,0,-69.21743010733812,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.99, 'e': 0.9395144899659074}",20,0,-151.88056621409487,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
23,False,"{'a': 0.99, 'e': 0.9381287849643577}",30,0,-89.19962502589092,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.99, 'e': 0.936743079962808}",30,0,-85.77295943018139,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
25,False,"{'a': 0.99, 'e': 0.9353573749612584}",25,12,-123.88419817054172,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 3}",1
26,False,"{'a': 0.99, 'e': 0.9339716699597087}",35,0,-204.11983035965804,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
27,False,"{'a': 0.99, 'e': 0.932585964958159}",25,1,-121.49195760695335,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 2}",1
28,False,"{'a': 0.99, 'e': 0.9312002599566094}",30,0,-125.27934007065335,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
29,False,"{'a': 0.99, 'e': 0.9298145549550597}",20,0,-68.31909807782283,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
30,False,"{'a': 0.99, 'e': 0.92842884995351}",20,0,-74.06930852512542,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
