trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-230.87685203331316,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-152.14775707120728,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-174.6148481875046,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-190.8977964910679,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-55.24734044135389,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-95.41595640491475,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-152.6466663707915,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-125.29602985187628,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-94.41073688154216,"{0: 22, 1: 3, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,13,-85.62299368965193,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-109.21363748739134,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-86.03456979794204,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-54.972751984938476,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-130.2739579529085,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-170.56941312945088,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-214.80341218735427,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,-28.378669562224346,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-121.98292747711322,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-103.89209016437215,"{0: 24, 1: 1, 2: 7, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-87.85245695218558,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",35,0,-186.126067958363,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 0}",25,0,-273.03147014772367,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 5}",0
3,True,"{'a': 0.5, 'e': 0}",20,0,-129.59925040922934,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 0}",25,0,-83.24331771459994,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",20,9,-76.92953424573739,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 0}",30,0,-27.184477591522164,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",20,2,-84.19486857321037,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 0}",20,0,-128.34132826705945,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0}",30,0,-129.05374780428417,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 0}",20,0,-256.41270044305315,"{0: 6, 1: 3, 2: 5, 3: 2, 4: 4}",0
